Index,Quality,Angle (degrees),Distance (mm)
5,15,88.0625,255.25
5,15,89.9375,258.0
5,15,91.515625,260.5
5,15,102.859375,376.0
5,15,103.890625,381.0
5,15,105.3125,387.25
5,15,106.6875,391.75
5,15,108.125,396.0
5,15,109.390625,400.5
5,15,110.765625,405.75
5,15,112.109375,411.75
5,15,113.625,417.75
5,15,114.8125,424.0
5,15,116.421875,430.25
5,15,117.609375,437.25
5,15,119.0625,444.5
5,15,120.328125,453.5
5,15,121.484375,463.0
5,13,123.09375,471.25
5,15,124.28125,480.75
5,15,125.8125,492.0
5,15,126.9375,504.25
5,15,146.4375,1363.75
5,15,147.8125,1348.75
5,15,149.171875,1362.0
5,15,150.625,1377.25
5,15,151.984375,1379.5
5,15,153.390625,1363.25
5,15,156.421875,1207.25
5,15,157.796875,1192.75
5,15,159.203125,1192.75
5,15,160.609375,1192.75
5,15,162.09375,1184.0
5,15,163.53125,1173.0
5,15,164.921875,1157.0
5,15,166.34375,1135.0
5,15,167.8125,1113.75
5,15,169.21875,1091.0
5,15,171.953125,1161.25
5,15,176.203125,572.25
5,15,180.515625,509.75
5,15,182.078125,509.0
5,15,183.484375,512.0
5,15,184.75,520.0
5,15,186.109375,518.0
5,15,187.796875,511.0
5,15,189.03125,511.75
5,15,190.515625,513.5
5,15,191.828125,506.5
5,15,193.53125,493.75
5,15,196.3125,505.75
5,15,197.5,505.5
5,15,200.453125,499.5
5,13,214.8125,449.0
5,15,220.0,532.0
5,15,221.46875,541.25
5,15,222.9375,538.0
5,15,224.296875,527.5
5,15,225.65625,525.5
5,15,227.15625,521.0
5,15,228.828125,507.75
5,15,230.28125,494.0
5,15,231.53125,487.0
5,15,233.140625,480.0
5,15,234.328125,473.75
5,15,245.859375,336.75
5,15,247.09375,337.0
5,15,248.71875,341.25
5,15,249.5625,345.75
5,15,251.359375,350.5
5,15,252.671875,356.0
5,15,253.6875,362.5
5,15,254.953125,369.0
5,15,263.171875,423.0
5,15,268.65625,445.5
5,15,270.09375,434.75
5,15,271.625,429.75
5,15,272.703125,430.0
5,15,274.015625,436.0
5,15,275.640625,447.0
5,15,276.78125,453.75
5,15,313.796875,211.0
5,15,315.203125,205.0
